"Halo CE","9","Xbox","03/11/14","One of my all time favorite games","<html><head></head><body style=""text-align:center;""><p><img height=""331"" src=""file:/C:/Users/Andrew/Documents/GameRater/data/haloCE.jpg"" width=""256""></p><p>&nbsp;</p><ol><li style=""text-align:left;""><span style=""direction:ltr;white-space:normal;line-height:100%;text-decoration:none;font-size:12pt;vertical-align:baseline;font-style:normal;font-variant:normal;color:black;font-weight:normal;font-family:Times New Roman , Times, Serif;""><span style=""direction:ltr;font-size:12pt;"">Duis commodo sit amet arcu vehicula semper</span></span></li><li style=""text-align:left;"">Nam placerat nisi quis lacinia fermentum.</li><ol><li style=""text-align:left;"">Suspendisse porta justo sit amet augue.</li></ol></ol><p style=""text-align:left;""><div id=""lipsum""><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque faucibus sed metus at varius. Suspendisse tempus pellentesque nulla in ullamcorper. Ut adipiscing pharetra mi, non sodales augue interdum vitae. Nulla gravida semper magna eu blandit. Sed aliquam, nulla at lobortis aliquet, purus ipsum dignissim odio, ut luctus arcu purus et massa. Pellentesque gravida at elit et interdum. Suspendisse porta justo sit amet augue consectetur pharetra. Nam fringilla vel arcu at vestibulum. Nullam vel vulputate tellus, quis porta nulla. Morbi ac molestie orci. Vestibulum ac tellus id eros molestie vulputate. Curabitur non eros erat. Fusce a diam laoreet, tincidunt sapien sit amet, consectetur mi. Cras facilisis sapien et magna imperdiet scelerisque. Donec imperdiet auctor justo viverra eleifend.</p><p>Donec at ullamcorper nisi. Nullam dapibus mi at est tempus tempus. Mauris varius, massa ac adipiscing aliquam, nisl elit faucibus eros, a laoreet velit sapien sit amet justo. Phasellus id mauris eget urna dictum egestas eget vel neque. In quis urna hendrerit ligula dignissim placerat vitae ut turpis. Vivamus vitae laoreet odio. Donec tristique quam quam, malesuada malesuada massa varius in. Donec sit amet pharetra sapien. Pellentesque euismod mi vitae erat bibendum vestibulum. Nam placerat nisi quis lacinia fermentum. Aliquam erat volutpat. Aenean vel erat eu leo volutpat malesuada.</p><p>Suspendisse ligula neque, ornare non metus a, lobortis rutrum ipsum. Donec a posuere erat. Nunc ac nibh eros. Aenean in lectus in velit iaculis gravida. Donec aliquam nisi lacus, quis ultricies nisl vestibulum ut. Duis commodo sit amet arcu vehicula semper. Pellentesque pulvinar eros urna, vitae gravida risus euismod ullamcorper. Maecenas ac arcu faucibus, sagittis mauris a, lacinia dolor.</p></div></p><ol><li style=""text-align:left;"">Aenean in lectus in velit iaculis gravida</li><ol><li style=""text-align:left;"">Pellentesque pulvinar.</li></ol></ol><p style=""text-align:left;""><span style=""color:rgb(255, 0, 0);"">Nullam vel vulputate tellus, quis porta nulla. Morbi ac molestie orci</span></p></body></html>"
"Minecraft","8","Portable Computer (PC)","11/22/09","Relaxing game that's great for the imagination and creativity.",""
"Skyrim","10","Xbox 360","06/11/12","",""
"Grand Theft Auto 5","8","Xbox 360","07/04/13","Single player experience was great, multiplayer not so much.",""
"Lego Marvel Superheroes","8","Xbox One","03/11/14","",""
"Terminator 2: Rise of the Machines","3","Xbox","03/11/14","Movie tie-in game. It was crap.",""
"Dishonored","6","Xbox 360","03/11/14","",""
"Fallout 3","8","Xbox 360","03/11/14","Buggie experience but a lot to do in the world",""
"Super Mario 64","8","Nintendo 64","03/11/14","",""
"Portal","9","Xbox 360","03/11/14","Very well designed game",""
"Crash Bandicoot","9","Playstation 2","12/15/02","Great level design, interesting main character",""
"Madden 2006","6","Xbox 360","07/01/07","",""
"Madden 2007","8","Xbox 360","10/16/08","",""
"Madden 2009","5","Xbox 360","03/22/10","",""
"NBA 2K11","8","Xbox 360","03/11/14","Best basketball game",""
"Sonic 2","8","Dreamcast","03/11/14","The way sonic was meant to be played, 2D and fast paced",""
"Rayman","7","Xbox 360","03/11/14","Interesting platformer, more fun to play with friends.",""
"Terraria","5","Portable Computer (PC)","06/12/00","",""
"Serious Sam","5","Portable Computer (PC)","06/12/00","",""
"Metroid Prime","5","Portable Computer (PC)","06/12/00","",""
"Pokemon Red","8","Game Boy (Original and Color)","06/12/00","",""
"Pokemon Blue","8","Game Boy (Original and Color)","06/12/00","",""
"Pokemon Gold","7","Game Boy (Original and Color)","06/12/00","",""
